# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     3.360         0         2        247790
     3.540         0         1         17854
     3.700         1         0         17876
     2.430         1         0         17881
     2.940         1         0         17930
     2.840         1         0         18068
     4.130         4         0         18111
     3.270         1         0         18179
     4.850         9         0         18195
     2.800         1         0         18278
     4.300         1         0         18312
     3.870         1         0         18465
     2.500         1         0         18510
     4.770         3         0         18520
     3.070         0         1         18620
     3.440         1         0         18624
     4.730         5         0         18676
     4.120         1         0         18746
     3.380         1         0         18806
     2.430         0         1         18833
     3.170         1         0         18855
     3.250         2         2         18965
     2.830         1         0         19019
     2.530         0         1         19063
     3.150         0         1         19115
     4.350         3         0         19137
     3.920         1         0         19157
     2.500         0         1         19182
     2.560         1         0         19233
     3.820         0         1         19282
     3.830         1         0         19101
     4.110         1         0         19367
     3.530         1         0         19374
     4.620        23         1         19456
     2.720         0         1         19536
     4.410         2         0         19558
     3.070         0         2         19614
     3.670         2        11         19897
     2.590         1         0         19904
     3.740         3         1         19925
     3.240         1         0         19922
     3.030         6         0         20022
     4.250         2         0         20031
     3.790         2         0         20074
     3.510         1         0         20071
     2.410         1         0         20130
     3.490         0         1         20180
     4.390         1         0         20201
     2.740         0         1         20331
     3.560         1         0         20380
     2.460         1         0         20388
     2.970         1         0         20543
     3.110         0         1         20607
     2.810         1         0         20517
     3.480         1         0         20657
     3.960         1         0         20721
     2.780         1         0         20783
     4.130         3         0         20838
     2.710         1         0         20852
     4.480         3         0         20903
     5.510       180         2         20996
     3.320         1         0         21455
     3.440         2         0         21516
     3.080         2         1         21573
     2.880         2         0         21602
     2.970         0         1         21706
     4.600         3         0         21708
     3.330         0         1         21838
     3.800         3         1         21956
     4.770        19         0         22007
     3.280         2         0         22128
     3.250         5         9         22260
     5.600       619         3         22295
     2.860         0         1         23772
     2.690         1         0         24022
     2.590         0         1         24096
     3.180         0         1         24343
     2.860         0         1         24367
     2.950         3         0         24381
     2.840         1         0         24304
     3.150         1         0         24450
     2.970         1         0         24454
     3.150         0         1         24471
     3.120         0         3         24488
     2.620         1         0         24501
     3.050         0         1         24508
     2.930         2         0         24493
     2.680         1         0         24512
     2.770         0         1         24582
     4.320         4         0         24617
     3.070         0         1         24691
     4.020         7         0         24715
     3.880         2         6         24733
     3.470         1         0         24811
     2.760         0         1         24834
     2.940         0         1         24904
     3.180         1         0         24941
     2.980         0         1         24952
     3.770         1         0         24980
     2.440         1         0         25023
     2.820         1         0         25032
     3.150         2         1         25041
     3.440         1         2         25160
     2.730         1         0         25205
     2.540         1         0         25233
     3.910         1         1         25245
     3.350         0         1         25274
     3.310         1         0         25276
     2.760         1         0         25302
     3.150         0         2         25357
     2.750         0         1         25379
     3.020         2         0         25440
     3.710         2         0         25463
     3.160         3         0         25493
     2.690         1         0         25508
     3.050         1         0         25580
     4.240         3         0         25601
     4.220        15         1         25624
     3.370        18         8         25670
     4.710       148        18         25767
     2.520         1         0         25943
     2.770         1         0         26038
     2.630         1         0         26079
     2.940         1         0         26106
     3.250         7         1         26242
     2.750         1         2         26404
     3.030         1         1         26463
     2.850         5         0         26487
     2.810         2         0         26498
     2.840         0         1         26535
     3.980         3         0         26787
     2.900         1         0         26817
     3.010         1         1         27004
     3.820         1         0         26829
     2.470         0         1         27127
     4.550         5         0         27146
     4.530         3         0         27196
     3.780         1         0         27234
     4.460         3         1         27247
     3.120         1         0         27344
     7.700      3875         4         27371
     4.590         4         0         29533
     3.990         3         2         29898
     3.230         2         0         29895
     2.940         0         2         30373
     3.350         1         0         30793
     3.070         1         1         30837
     3.030         1         0         31579
     4.850         3         0         31754
     4.280         1         0         32122
     4.640         4         0         32405
     3.070         9         0         32661
     2.680         1         0         32726
     3.270         1         0         32930
     3.630         1         0         33787
     2.830         1         0         34335
     2.740         1         0         34561
     2.530         0         1         34613
     2.560         1         1         34924
     2.740         1         0         34931
     3.530         1         0         35048
     4.480         3         0         35057
     4.430         1         1         35122
     3.490         1         0         35428
     4.490         5         0         35449
     2.930         1         0         35519
     2.990         0         1         35552
     3.320         3         2         35566
     2.440         0         1         35603
     3.450         2         0         35590
     3.290         1         0         35663
     3.200         1         3         35793
     2.920         3         0         35795
     2.730         1         0         35800
     2.690         0         2         35806
     2.890         0         1         35836
     3.500         1         0         35856
     2.870         1         0         36003
     2.780         1         0         36014
     3.100         2         0         36055
     4.370         3         0         36218
     3.710         1         0         36258
     4.410         3         0         36305
     3.510         1         0         36331
     2.890         1         0         36493
     2.500         0         1         36643
     4.780         3         0         37180
     4.670         4         0         37412
     3.020         0         1         37444
     3.450         2         0         37560
     2.510         1         0         37753
     2.760         1         0         38044
     3.330         8         6         38077
     3.020         1         0         38690
     4.480         1         0         38847
     3.220         1         0         38854
     3.050         1         0         38966
     2.700         5         9         39026
     2.970         0         2         39065
     4.520         1         0         39072
     3.850         0         3         39255
     3.800         1         0         39447
     2.550         1         0         39492
     3.660         0         1         39527
     2.560         0         1         39863
     4.120         1         0         39925
     3.830         1         0         39963
     3.180         2         1         40039
     3.910         2         0         40054
     2.530         0         1         40167
     3.590         1         0         40178
     2.550         0         2         40197
     3.070         0         1         40269
     3.630         5         0         40497
     3.370        21         4         40566
     3.320         1         0         40748
     3.490         1         0         40803
     4.350         2         0         40971
     3.770         3         0         41057
     3.930         4         2         41179
     3.250         4         0         41248
     3.940        11         4         41340
     3.620         3         1         41376
     3.910         2         0         41355
     3.010         2         0         41416
     3.360         1         1         41436
     3.920         2         0         41445
     3.040         0         1         41503
     3.410         1         0         41084
     3.520         3         1         41553
     3.890         1         0         41594
     2.530         0         1         41653
     3.870         4         0         41658
     3.660         2         0         41673
     3.660         1         0         41704
     3.730         0         1         41709
     3.640         3         1         41725
     3.670         2        10         41916
     3.300         1         1         41955
     3.320         1         0         41978
     3.080         7         8         42016
     2.750         1         0         42152
     4.300         3         0         42221
     3.090         1         0         42257
     2.880         0         1         42396
     3.230         2         0         42429
     3.310         2         0         41687
     3.290         0         1         42544
     2.660         0         1         42595
     3.450         2         0         40999
     3.540         0         1         42793
     2.450         1         0         43009
     2.590         0         1         43061
     3.530         2         0         43069
     2.800         1         0         43076
     2.590         0         1         43110
     2.760         1         0         43128
     3.460         1         0         43181
     2.800         0         1         43189
     2.920         1         0         43242
     3.410         3         0         43248
     2.580         1         0         43254
     3.440         1         0         43257
     3.010         1         0         43443
     3.950        22         9         43542
     2.690         0         1         43580
     2.840         1         0         43735
     2.880         0         1         43825
     3.070         0         1         44172
     3.380         0        19         44359
     3.840         2         0         44411
     3.950         3         1         44519
     2.890         1         0         44548
     3.110         2         1         44693
     3.240         1         1         44813
     3.700         1         0         44809
     2.710         1         0         44845
     3.130         1         0         44994
     3.530         1         0         45012
     4.900        15         0         45059
     2.850         1         0         45096
     3.350         2         2         45122
     3.290         5        16         45235
     3.120         0         1         45405
     3.120         1         0         45369
     3.220         0         1         45432
     3.590         2         0         45488
     2.590         1         2         45533
     2.720         0         7         45721
     3.470         1         1         45627
     2.790         0         1         45636
     2.750         1         1         45825
     4.290         2         0         45901
     4.950         2         0         45909
     2.680         0         1         45937
     2.580         0         1         46022
     2.690         1         0         46044
     4.140         5         0         46069
     2.750         1         0         46112
     2.490         1         0         46183
     2.890         0         1         46227
     3.820         2         0         46300
     2.830         1         0         46433
     3.960         2         0         46484
     3.650         4         0         46519
     2.560         0         1         46556
     2.640         0         1         46558
     3.150         2         1         46617
     2.550         0         1         46666
     2.930         1         0         46757
     3.220         1         0         46762
     2.420         1         0         46815
     2.860         1         1         46823
     3.390         0         1         46832
     2.890         1         0         46957
     2.820         1         0         46976
     3.030         2         1         46990
     2.610         1         0         47034
     2.560         1         0         47045
     3.100         1         0         47097
     2.660         2         0         47133
     3.520         1         0         47169
     2.710         1         0         47184
     2.560         0         1         47212
     3.030         5         1         47229
     3.050         0         1         47251
     2.750         0         1         47252
     3.000         0         1         47277
     3.770        16         0         47294
     3.120         1         1         47308
     3.930         2         0         47329
     2.530         1         0         47368
     3.660         1         0         47181
     2.660         1         0         47409
     2.740         2         0         47438
     3.380         2         1         47450
     2.520         2         0         47479
     2.820         1         0         47514
     2.590         1         0         47535
     3.020         2         7         47601
     4.440        74        15         47633
     2.440         0         1         47898
     3.770         2         0         48347
     4.120         3         0         48362
     3.120         1         0         48449
     2.540         1         0         48509
     4.160         2         0         48543
     2.680         0         1         48579
     4.450         4         0         48645
     3.410         1         4         48695
     2.460         0         1         48759
     2.540         2         0         48792
     3.250         2         1         48794
